FCI 5,Akita,67,76,100,122,96
FCI 2,Landseer Continental-European Type,80,59,76,73,95
FCI 9,Lhasa Apso,82,64,71,64,93
FCI 6,Russian Hound,141,100,135,145,92
FCI 8,American Cocker Spaniel,85,95,73,86,92
FCI 3,Scottish Terrier,29,74,63,44,88
FCI 8,French Water Dog,56,47,40,58,87
FCI 9,Small Brabant Griffon,64,66,47,65,80
FCI 10,Italian Greyhound,70,73,74,96,79
FCI 10,Saluki,106,94,95,103,78
FCI 3,English Toy Terrier,51,90,53,83,78
FCI 2,Pyrenean Mountain Dog,54,31,81,53,78
FCI 6,Plott,91,38,104,32,78
FCI 9,Russian Toy,111,97,100,110,77
FCI 5,Eurasier,85,66,109,74,74
FCI 9,Russkaja Tsvetnaja Bolonka,18,29,43,57,74
FCI 10,Afghan Hound,48,53,44,64,73
FCI 1,Beauceron,135,77,66,76,71
FCI 3,"Fox Terrier, Wire-haired",92,59,78,102,70
FCI 2,Tibetan Mastiff,94,103,80,84,70
FCI 1,Mudi,37,36,46,22,70
FCI 5,Basenji,61,69,68,51,69
FCI 3,Norfolk Terrier,78,116,62,62,67
FCI 7,English Setter,49,87,94,47,67
FCI 2,Saint Bernard Long-haired,55,77,30,78,66
FCI 9,Japanese Chin,73,86,56,60,65
FCI 9,Prague Ratter,47,39,37,49,65
FCI 3,American Hairless Terrier,,,163,184,64
FCI 1,"Dutch Shepherd Dog, Short-haired",34,50,35,32,62
FCI 3,Miniature Bull Terrier,60,55,77,49,60
FCI 5,West Siberian Laika,40,49,43,44,60
FCI 5,Icelandic Sheepdog,65,44,60,44,59
FCI 1,Pumi,74,70,54,32,56
FCI 3,Airedale Terrier,49,51,31,64,54
FCI 9,Brussels Griffon,37,54,67,36,54
FCI 8,Field Spaniel,47,68,51,79,53
FCI 3,Australian Silky Terrier,83,91,73,69,53
FCI 2,Caucasian Shepherd Dog,41,60,41,31,52
FCI 10,Deerhound,35,29,10,26,52
FCI 9,Phalène,87,84,43,41,51
FCI 6,Petit Basset Griffon Vendeen,32,42,44,33,50
FCI 3,Manchester Terrier,31,41,34,23,50
FCI 1,Maremma and Abruzzes Sheepdog,24,64,55,74,49
FCI 5,Portuguese Warren Dog Miniature Smooth-haired,81,57,57,65,49
FCI 10,Borzoi,94,47,67,54,49
FCI 2,German Pinscher,52,73,67,83,48
FCI 9,Kromfohrländer,53,32,38,25,46
FCI 3,Irish Terrier,27,48,23,23,45
FCI 1,Australian Cattle Dog,19,25,47,16,45
FCI 7,Small Munsterlander,58,36,28,47,44
FCI 1,Tatra Shepherd Dog,48,33,28,13,44
FCI 1,Bearded Collie,26,32,36,57,43
FCI 6,Basset Hound,37,47,54,56,43
FCI 4,"Rabbit Dachshund, Wire-haired",43,37,60,51,43
